case,activity,timestamp
Case1,Reject Request,2025-11-10 10:53:00
Case1,Reject Request,2025-11-08 18:59:00
Case1,Reject Request,2025-11-09 10:35:00
Case1,Reject Request,2025-11-10 17:53:00
Case2,Reject Request,2025-11-08 13:14:00
Case2,Reject Request,2025-11-08 01:39:00
Case2,Reject Request,2025-11-09 20:37:00
Case2,Reject Request,2025-11-10 19:40:00
Case3,Submit Request,2025-11-09 23:55:00
Case3,Reject Request,2025-11-10 18:53:00
Case3,Reject Request,2025-11-08 08:32:00
Case3,Submit Request,2025-11-07 22:00:00
Case4,Reject Request,2025-11-10 07:59:00
Case4,Reject Request,2025-11-07 18:48:00
Case4,Reject Request,2025-11-08 08:49:00
Case4,Reject Request,2025-11-09 15:34:00
Case5,Reject Request,2025-11-09 19:31:00
Case5,Reject Request,2025-11-09 12:22:00
Case5,Reject Request,2025-11-09 20:38:00
Case5,Reject Request,2025-11-09 01:00:00
