case,activity,timestamp
Case1,Process Request,2025-11-04 01:37:00
Case1,Quality Check,2025-11-07 06:59:00
Case1,Process Request,2025-11-06 16:51:00
Case1,Rework Request,2025-11-04 16:35:00
Case2,Rework Request,2025-11-04 19:46:00
Case2,Submit Request,2025-11-06 17:26:00
Case2,Process Request,2025-11-06 10:46:00
Case2,Manager Review,2025-11-06 18:29:00
Case3,Process Request,2025-11-07 02:29:00
Case3,Rework Request,2025-11-07 07:55:00
Case3,Process Request,2025-11-07 06:53:00
Case3,Process Request,2025-11-05 18:06:00
Case4,Quality Check,2025-11-05 16:36:00
Case4,Rework Request,2025-11-05 20:41:00
Case4,Process Request,2025-11-05 09:17:00
Case4,Process Request,2025-11-06 12:14:00
Case5,Manager Review,2025-11-04 01:56:00
Case5,Rework Request,2025-11-05 01:29:00
Case5,Rework Request,2025-11-06 13:51:00
Case5,Process Request,2025-11-04 18:27:00
