case,activity,timestamp
Case1,Submit Request,2025-11-07 09:29:00
Case1,Approve Request,2025-11-08 12:43:00
Case1,Submit Request,2025-11-07 11:54:00
Case1,Submit Request,2025-11-09 11:43:00
Case2,Quality Check,2025-11-09 00:46:00
Case2,Quality Check,2025-11-08 06:10:00
Case2,Submit Request,2025-11-08 09:42:00
Case2,Manager Review,2025-11-07 15:03:00
Case3,Submit Request,2025-11-09 07:33:00
Case3,Approve Request,2025-11-06 15:14:00
Case3,Submit Request,2025-11-07 01:45:00
Case3,Notify Completion,2025-11-07 19:25:00
Case4,Submit Request,2025-11-06 22:38:00
Case4,Approve Request,2025-11-07 09:40:00
Case4,Notify Completion,2025-11-08 16:33:00
Case4,Submit Request,2025-11-08 14:17:00
Case5,Approve Request,2025-11-09 09:46:00
Case5,Submit Request,2025-11-08 22:24:00
Case5,Manager Review,2025-11-06 12:33:00
Case5,Approve Request,2025-11-07 21:26:00
