case,activity,timestamp
Case1,Submit Request,2025-11-07 03:48:00
Case1,Quality Check,2025-11-05 15:26:00
Case1,Quality Check,2025-11-04 06:17:00
Case2,Quality Check,2025-11-04 17:50:00
Case2,Quality Check,2025-11-06 00:34:00
Case2,Submit Request,2025-11-07 10:29:00
Case3,Quality Check,2025-11-04 10:52:00
Case3,Submit Request,2025-11-04 12:59:00
Case3,Quality Check,2025-11-04 05:21:00
Case4,Submit Request,2025-11-04 14:12:00
Case4,Quality Check,2025-11-06 03:25:00
Case4,Submit Request,2025-11-06 08:43:00
Case5,Submit Request,2025-11-06 01:28:00
Case5,Submit Request,2025-11-06 10:16:00
Case5,Quality Check,2025-11-05 10:06:00
Case6,Quality Check,2025-11-04 11:45:00
Case6,Quality Check,2025-11-05 07:39:00
Case6,Submit Request,2025-11-05 06:45:00
Case7,Submit Request,2025-11-06 15:29:00
Case7,Quality Check,2025-11-07 03:01:00
Case7,Quality Check,2025-11-04 03:33:00
Case8,Quality Check,2025-11-04 20:53:00
Case8,Quality Check,2025-11-06 17:06:00
Case8,Quality Check,2025-11-05 20:50:00
Case9,Quality Check,2025-11-05 07:33:00
Case9,Submit Request,2025-11-05 15:28:00
Case9,Quality Check,2025-11-07 00:44:00
Case10,Submit Request,2025-11-05 07:32:00
Case10,Quality Check,2025-11-05 05:18:00
Case10,Submit Request,2025-11-05 17:57:00
Case11,Submit Request,2025-11-05 17:29:00
Case11,Quality Check,2025-11-05 11:56:00
Case11,Quality Check,2025-11-06 04:11:00
Case12,Quality Check,2025-11-06 16:32:00
Case12,Submit Request,2025-11-04 19:13:00
Case12,Submit Request,2025-11-05 07:46:00
Case13,Quality Check,2025-11-04 02:44:00
Case13,Quality Check,2025-11-06 12:17:00
Case13,Quality Check,2025-11-05 17:58:00
Case14,Quality Check,2025-11-06 13:04:00
Case14,Submit Request,2025-11-06 16:52:00
Case14,Quality Check,2025-11-05 02:07:00
Case15,Submit Request,2025-11-05 23:03:00
Case15,Submit Request,2025-11-05 15:59:00
Case15,Quality Check,2025-11-06 14:35:00
Case16,Quality Check,2025-11-07 09:22:00
Case16,Submit Request,2025-11-04 06:58:00
Case16,Quality Check,2025-11-05 10:03:00
Case17,Quality Check,2025-11-05 11:28:00
Case17,Submit Request,2025-11-06 23:22:00
Case17,Quality Check,2025-11-05 12:42:00
Case18,Submit Request,2025-11-04 09:57:00
Case18,Quality Check,2025-11-04 19:12:00
Case18,Submit Request,2025-11-05 02:58:00
Case19,Quality Check,2025-11-06 17:13:00
Case19,Quality Check,2025-11-05 07:42:00
Case19,Quality Check,2025-11-04 21:52:00
Case20,Quality Check,2025-11-05 01:57:00
Case20,Submit Request,2025-11-06 11:51:00
Case20,Quality Check,2025-11-04 23:38:00
Case21,Quality Check,2025-11-06 11:26:00
Case21,Submit Request,2025-11-06 06:30:00
Case21,Quality Check,2025-11-07 02:16:00
Case22,Quality Check,2025-11-07 02:35:00
Case22,Quality Check,2025-11-05 17:13:00
Case22,Quality Check,2025-11-05 06:04:00
Case23,Submit Request,2025-11-06 12:21:00
Case23,Submit Request,2025-11-05 08:32:00
Case23,Quality Check,2025-11-05 00:31:00
Case24,Quality Check,2025-11-04 07:40:00
Case24,Quality Check,2025-11-04 06:23:00
Case24,Quality Check,2025-11-05 07:19:00
Case25,Submit Request,2025-11-07 08:38:00
Case25,Submit Request,2025-11-04 02:24:00
Case25,Submit Request,2025-11-04 23:37:00
Case26,Quality Check,2025-11-05 09:13:00
Case26,Quality Check,2025-11-06 13:55:00
Case26,Quality Check,2025-11-06 23:22:00
Case27,Submit Request,2025-11-05 23:41:00
Case27,Quality Check,2025-11-07 05:07:00
Case27,Quality Check,2025-11-04 06:52:00
Case28,Submit Request,2025-11-07 07:27:00
Case28,Quality Check,2025-11-04 20:05:00
Case28,Quality Check,2025-11-04 03:49:00
Case29,Quality Check,2025-11-06 02:31:00
Case29,Quality Check,2025-11-05 20:11:00
Case29,Quality Check,2025-11-06 05:12:00
Case30,Quality Check,2025-11-04 07:03:00
Case30,Quality Check,2025-11-06 00:36:00
Case30,Submit Request,2025-11-06 12:00:00
Case31,Submit Request,2025-11-06 19:09:00
Case31,Quality Check,2025-11-06 18:39:00
Case31,Submit Request,2025-11-06 01:39:00
Case32,Submit Request,2025-11-04 14:32:00
Case32,Quality Check,2025-11-04 22:02:00
Case32,Quality Check,2025-11-04 16:02:00
Case33,Quality Check,2025-11-06 00:20:00
Case33,Quality Check,2025-11-05 04:32:00
Case33,Quality Check,2025-11-05 12:01:00
Case34,Submit Request,2025-11-06 11:38:00
Case34,Submit Request,2025-11-04 08:47:00
Case34,Submit Request,2025-11-04 08:20:00
Case35,Submit Request,2025-11-06 01:44:00
Case35,Quality Check,2025-11-07 07:18:00
Case35,Submit Request,2025-11-05 16:29:00
Case36,Quality Check,2025-11-04 11:38:00
Case36,Quality Check,2025-11-07 01:58:00
Case36,Quality Check,2025-11-06 23:44:00
Case37,Quality Check,2025-11-05 22:26:00
Case37,Quality Check,2025-11-05 08:05:00
Case37,Submit Request,2025-11-06 12:57:00
Case38,Submit Request,2025-11-07 08:22:00
Case38,Quality Check,2025-11-04 19:47:00
Case38,Quality Check,2025-11-07 04:25:00
Case39,Quality Check,2025-11-04 01:49:00
Case39,Submit Request,2025-11-06 22:43:00
Case39,Quality Check,2025-11-04 23:10:00
Case40,Quality Check,2025-11-05 02:42:00
Case40,Submit Request,2025-11-07 00:12:00
Case40,Quality Check,2025-11-04 00:29:00
Case41,Quality Check,2025-11-05 15:40:00
Case41,Submit Request,2025-11-05 05:50:00
Case41,Quality Check,2025-11-04 18:12:00
Case42,Quality Check,2025-11-06 18:07:00
Case42,Quality Check,2025-11-06 00:25:00
Case42,Submit Request,2025-11-06 08:54:00
Case43,Quality Check,2025-11-04 21:11:00
Case43,Submit Request,2025-11-04 00:51:00
Case43,Quality Check,2025-11-04 10:34:00
Case44,Submit Request,2025-11-04 06:16:00
Case44,Quality Check,2025-11-05 14:35:00
Case44,Quality Check,2025-11-05 10:17:00
Case45,Quality Check,2025-11-05 19:55:00
Case45,Quality Check,2025-11-05 05:24:00
Case45,Submit Request,2025-11-04 07:57:00
Case46,Quality Check,2025-11-04 06:48:00
Case46,Quality Check,2025-11-06 06:51:00
Case46,Submit Request,2025-11-04 11:28:00
Case47,Quality Check,2025-11-04 14:01:00
Case47,Submit Request,2025-11-04 15:53:00
Case47,Submit Request,2025-11-05 18:49:00
Case48,Quality Check,2025-11-04 15:35:00
Case48,Quality Check,2025-11-05 09:55:00
Case48,Quality Check,2025-11-04 20:15:00
Case49,Submit Request,2025-11-06 13:34:00
Case49,Submit Request,2025-11-04 14:03:00
Case49,Quality Check,2025-11-04 18:57:00
Case50,Quality Check,2025-11-04 18:36:00
Case50,Submit Request,2025-11-07 04:59:00
Case50,Submit Request,2025-11-05 07:28:00
Case51,Submit Request,2025-11-04 17:36:00
Case51,Quality Check,2025-11-07 01:17:00
Case51,Quality Check,2025-11-07 00:06:00
Case52,Submit Request,2025-11-04 12:18:00
Case52,Quality Check,2025-11-04 02:04:00
Case52,Quality Check,2025-11-07 08:08:00
Case53,Submit Request,2025-11-06 05:56:00
Case53,Submit Request,2025-11-07 10:30:00
Case53,Quality Check,2025-11-06 01:25:00
Case54,Quality Check,2025-11-04 15:43:00
Case54,Submit Request,2025-11-04 12:46:00
Case54,Quality Check,2025-11-06 23:25:00
Case55,Quality Check,2025-11-05 03:12:00
Case55,Quality Check,2025-11-07 06:42:00
Case55,Submit Request,2025-11-07 08:31:00
Case56,Quality Check,2025-11-06 08:22:00
Case56,Quality Check,2025-11-05 11:29:00
Case56,Quality Check,2025-11-05 04:40:00
Case57,Quality Check,2025-11-06 18:03:00
Case57,Quality Check,2025-11-04 23:37:00
Case57,Quality Check,2025-11-04 14:50:00
Case58,Submit Request,2025-11-04 05:34:00
Case58,Quality Check,2025-11-05 09:32:00
Case58,Quality Check,2025-11-05 16:46:00
Case59,Quality Check,2025-11-07 05:00:00
Case59,Quality Check,2025-11-05 01:05:00
Case59,Submit Request,2025-11-04 10:54:00
Case60,Submit Request,2025-11-06 04:06:00
Case60,Submit Request,2025-11-04 06:04:00
Case60,Quality Check,2025-11-06 09:30:00
Case61,Quality Check,2025-11-05 11:35:00
Case61,Quality Check,2025-11-04 18:59:00
Case61,Quality Check,2025-11-05 19:44:00
Case62,Quality Check,2025-11-04 01:38:00
Case62,Quality Check,2025-11-05 23:39:00
Case62,Quality Check,2025-11-06 18:46:00
Case63,Submit Request,2025-11-05 04:32:00
Case63,Submit Request,2025-11-05 12:19:00
Case63,Submit Request,2025-11-05 11:45:00
Case64,Quality Check,2025-11-07 05:47:00
Case64,Quality Check,2025-11-05 22:51:00
Case64,Submit Request,2025-11-06 04:55:00
Case65,Submit Request,2025-11-07 04:13:00
Case65,Quality Check,2025-11-06 23:23:00
Case65,Submit Request,2025-11-07 06:42:00
Case66,Submit Request,2025-11-07 01:26:00
Case66,Submit Request,2025-11-07 09:24:00
Case66,Quality Check,2025-11-06 09:23:00
Case67,Submit Request,2025-11-06 10:11:00
Case67,Quality Check,2025-11-06 11:34:00
Case67,Submit Request,2025-11-06 16:26:00
Case68,Quality Check,2025-11-05 18:35:00
Case68,Submit Request,2025-11-05 07:34:00
Case68,Submit Request,2025-11-06 18:52:00
Case69,Submit Request,2025-11-06 08:39:00
Case69,Quality Check,2025-11-06 23:42:00
