case,activity,timestamp
Case1,Submit Request,2025-11-05 23:01:00
Case1,Quality Check,2025-11-05 11:13:00
Case1,Submit Request,2025-11-06 15:46:00
Case2,Quality Check,2025-11-06 23:52:00
Case2,Submit Request,2025-11-06 23:01:00
Case2,Quality Check,2025-11-05 11:32:00
Case3,Submit Request,2025-11-05 22:22:00
Case3,Quality Check,2025-11-06 12:47:00
Case3,Quality Check,2025-11-04 13:49:00
Case4,Quality Check,2025-11-06 09:17:00
Case4,Submit Request,2025-11-06 04:42:00
Case4,Quality Check,2025-11-04 03:40:00
Case5,Quality Check,2025-11-05 13:15:00
Case5,Quality Check,2025-11-06 11:01:00
